Date,Open,High,Low,Close,Adj Close
7/13/2016,378.299988,385,354.899994,374.100006,374.100006
7/14/2016,371.899994,382.899994,360,371.799988,371.799988
7/15/2016,352,389.100006,346.5,376.299988,376.299988
7/18/2016,381.100006,382.600006,358.5,365.799988,365.799988
7/19/2016,376.299988,378.200012,359.200012,364.600006,364.600006
7/20/2016,338.600006,352.200012,333.100006,335,335
7/21/2016,333.899994,353.799988,328.899994,348.5,348.5
7/22/2016,376.600006,389.799988,376.399994,381,381
7/25/2016,383.100006,384.299988,360,367.299988,367.299988
7/26/2016,349.600006,371.899994,343,351.100006,351.100006
7/27/2016,364.799988,371.700012,343.600006,349,349
7/28/2016,355.700012,439.399994,354.299988,424.899994,424.899994
7/29/2016,433.799988,448.399994,426.200012,426.799988,426.799988
8/1/2016,417.200012,423,383.700012,386.100006,386.100006
8/2/2016,378.100006,388,367,369.299988,369.299988
8/3/2016,396.700012,422.899994,393.200012,415.299988,415.299988
8/4/2016,415.899994,434,399.600006,407,407
8/5/2016,392.700012,397.600006,376.799988,378.600006,378.600006
8/8/2016,364.600006,377,355.700012,372.5,372.5
8/9/2016,350,354.799988,318.399994,323.700012,323.700012
8/10/2016,322.799988,327,300.600006,306.600006,306.600006
8/11/2016,304.5,318.700012,292.799988,297.600006,297.600006
8/12/2016,316.200012,323,305.5,308.200012,308.200012
8/15/2016,314.700012,323.399994,300.799988,308.899994,308.899994
8/16/2016,310.600006,321.299988,307.899994,320.200012,320.200012
8/17/2016,317.200012,328,310.799988,318.799988,318.799988
8/18/2016,316.600006,344.299988,316,338.299988,338.299988
8/19/2016,308.399994,314.700012,299.5,300.399994,300.399994
8/22/2016,334.899994,337.399994,324.399994,330.299988,330.299988
8/23/2016,342.899994,367,338.5,362.100006,362.100006
8/24/2016,376.200012,389,375,377.100006,377.100006
8/25/2016,389.799988,407.799988,382.5,398.299988,398.299988
8/26/2016,395.5,427.5,392.899994,404.700012,404.700012
8/29/2016,408.399994,420.700012,392.100006,404.5,404.5
8/30/2016,416.600006,417.200012,372.5,379.799988,379.799988
8/31/2016,381.700012,405.799988,381.200012,396.200012,396.200012
9/1/2016,379.5,387.799988,358.399994,366.200012,366.200012
